Type                Parent              Is Leaf  Terminal/Non-Terminal  Line Number Lexeme                Data Type Operator  Value   Rule Number 
PROGRAM             ----                No       program                ----        ----                  ----      ----      ----    0           
MODULE LIST         PROGRAM             No       otherModules           ----        ----                  ----      ----      ----    4           
MODULE              MODULE LIST         No       module                 ----        ----                  ----      ----      ----    7           
LEAF                MODULE              Yes      ID                     8           array_parameter_demo  ----      ----      array_parameter_demo0           
INPUT LIST          MODULE              No       input_plist            ----        ----                  ----      ----      ----    10          
LEAF                INPUT LIST          Yes      ID                     9           B                     ----      ----      B       0           
ARRAY               INPUT LIST          No       dataType               ----        ----                  ----      ----      ----    20          
RANGE ARRAYS        ARRAY               No       range_arrays           ----        ----                  ----      ----      ----    88          
LEAF                RANGE ARRAYS        Yes      NUM                    9           ----                  ----      ----      ----    0           
LEAF                RANGE ARRAYS        Yes      NUM                    9           ----                  ----      ----      ----    0           
LEAF                ARRAY               Yes      INTEGER                9           INTEGER               ----      ----      INTEGER 16          
INPUT LIST          INPUT LIST          No       n1                     ----        ----                  ----      ----      ----    11          
LEAF                INPUT LIST          Yes      ID                     9           C                     ----      ----      C       0           
ARRAY               INPUT LIST          No       dataType               ----        ----                  ----      ----      ----    20          
RANGE ARRAYS        ARRAY               No       range_arrays           ----        ----                  ----      ----      ----    88          
LEAF                RANGE ARRAYS        Yes      ID                     9           low                   ----      ----      low     0           
LEAF                RANGE ARRAYS        Yes      ID                     9           high                  ----      ----      high    0           
LEAF                ARRAY               Yes      INTEGER                9           INTEGER               ----      ----      INTEGER 16          
OUTPUT  LIST        MODULE              No       output_plist           ----        ----                  ----      ----      ----    13          
LEAF                OUTPUT  LIST        Yes      ID                     10          sum1                  ----      ----      sum1    0           
LEAF                OUTPUT  LIST        Yes      INTEGER                10          INTEGER               ----      ----      INTEGER 16          
OUTPUT  LIST        OUTPUT  LIST        No       n2                     ----        ----                  ----      ----      ----    14          
LEAF                OUTPUT  LIST        Yes      ID                     10          sum2                  ----      ----      sum2    0           
LEAF                OUTPUT  LIST        Yes      INTEGER                10          INTEGER               ----      ----      INTEGER 16          
OUTPUT  LIST        OUTPUT  LIST        No       n2                     ----        ----                  ----      ----      ----    14          
LEAF                OUTPUT  LIST        Yes      ID                     10          sum3                  ----      ----      sum3    0           
LEAF                OUTPUT  LIST        Yes      INTEGER                10          INTEGER               ----      ----      INTEGER 16          
STATEMENT           MODULE              No       moduleDef              ----        ----                  ----      ----      ----    21          
LEAF                STATEMENT           Yes      START                  11          START                 ----      ----      START   0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     12          B                     ----      ----      B       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     13          C                     ----      ----      C       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
LEAF                ID LIST             Yes      ID                     15          k                     ----      ----      k       0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     15          i                     ----      ----      i       0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     15          p                     ----      ----      p       0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     15          q                     ----      ----      q       0           
LEAF                DECLARE STMT        Yes      INTEGER                15          INTEGER               ----      ----      INTEGER 16          
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    29          
LEAF                IO                  Yes      ID                     16          p                     ----      ----      p       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    29          
LEAF                IO                  Yes      ID                     17          q                     ----      ----      q       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
LEAF                ID LIST             Yes      ID                     18          A                     ----      ----      A       0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     18          D                     ----      ----      D       0           
ARRAY               DECLARE STMT        No       dataType               ----        ----                  ----      ----      ----    20          
RANGE ARRAYS        ARRAY               No       range_arrays           ----        ----                  ----      ----      ----    88          
LEAF                RANGE ARRAYS        Yes      NUM                    18          ----                  ----      ----      ----    0           
LEAF                RANGE ARRAYS        Yes      NUM                    18          ----                  ----      ----      ----    0           
LEAF                ARRAY               Yes      INTEGER                18          INTEGER               ----      ----      INTEGER 16          
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
