
Lexeme         Lineno         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol                    RuleNum             
EMPTY          ----           EMPTY                    ----                     moduleDeclarations       y                        EMPTY                         -1                  
----           ----           ----                     ----                     program                  n                        moduleDeclarations            2                   
----           ----           ----                     ----                     [ROOT]                   n                        program                       0                   
EMPTY          ----           EMPTY                    ----                     otherModules             y                        EMPTY                         -1                  
----           ----           ----                     ----                     program                  n                        otherModules                  5                   
DRIVERDEF      6              DRIVERDEF                ----                     driverModule             y                        DRIVERDEF                     -1                  
----           ----           ----                     ----                     program                  n                        driverModule                  6                   
DRIVER         6              DRIVER                   ----                     driverModule             y                        DRIVER                        -1                  
PROGRAM        6              PROGRAM                  ----                     driverModule             y                        PROGRAM                       -1                  
DRIVERENDDEF   6              DRIVERENDDEF             ----                     driverModule             y                        DRIVERENDDEF                  -1                  
START          7              START                    ----                     moduleDef                y                        START                         -1                  
----           ----           ----                     ----                     driverModule             n                        moduleDef                     21                  
DECLARE        8              DECLARE                  ----                     declareStmt              y                        DECLARE                       -1                  
----           ----           ----                     ----                     statement                n                        declareStmt                   75                  
x              8              ID                       ----                     idList                   y                        ID                            -1                  
----           ----           ----                     ----                     declareStmt              n                        idList                        41                  
COMMA          8              COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     idList                   n                        n3                            42                  
y              8              ID                       ----                     n3                       y                        ID                            -1                  
COMMA          8              COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            42                  
z              8              ID                       ----                     n3                       y                        ID                            -1                  
COMMA          8              COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            42                  
k              8              ID                       ----                     n3                       y                        ID                            -1                  
EMPTY          ----           EMPTY                    ----                     n3                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            43                  
COLON          8              COLON                    ----                     declareStmt              y                        COLON                         -1                  
INTEGER        8              INTEGER                  ----                     type                     y                        INTEGER                       -1                  
----           ----           ----                     ----                     dataType                 n                        type                          16                  
----           ----           ----                     ----                     declareStmt              n                        dataType                      19                  
