
Lexeme         LINENO         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol          
DECLARE        3              DECLARE                  ----                     moduleDeclaration        y                        DECLARE             
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclaration   
MODULE         3              MODULE                   ----                     moduleDeclaration        y                        MODULE              
module1        3              ID                       ----                     moduleDeclaration        y                        ID                  
SEMICOL        3              SEMICOL                  ----                     moduleDeclaration        y                        SEMICOL             
----           -1             ----                     ----                     program                  n                        moduleDeclarations  
DECLARE        4              DECLARE                  ----                     moduleDeclaration        y                        DECLARE             
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclaration   
MODULE         4              MODULE                   ----                     moduleDeclaration        y                        MODULE              
module3        4              ID                       ----                     moduleDeclaration        y                        ID                  
SEMICOL        4              SEMICOL                  ----                     moduleDeclaration        y                        SEMICOL             
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclarations  
DECLARE        5              DECLARE                  ----                     moduleDeclaration        y                        DECLARE             
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclaration   
MODULE         5              MODULE                   ----                     moduleDeclaration        y                        MODULE              
module3        5              ID                       ----                     moduleDeclaration        y                        ID                  
SEMICOL        5              SEMICOL                  ----                     moduleDeclaration        y                        SEMICOL             
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclarations  
EMPTY          -1             EMPTY                    ----                     moduleDeclarations       y                        EMPTY               
----           -1             ----                     ----                     moduleDeclarations       n                        moduleDeclarations  
----           -1             ----                     ----                     [ROOT]                   n                        program             
DEF            11             DEF                      ----                     module                   y                        DEF                 
----           -1             ----                     ----                     otherModules             n                        module              
MODULE         11             MODULE                   ----                     module                   y                        MODULE              
module1        11             ID                       ----                     module                   y                        ID                  
ENDDEF         11             ENDDEF                   ----                     module                   y                        ENDDEF              
TAKES          12             TAKES                    ----                     module                   y                        TAKES               
INPUT          12             INPUT                    ----                     module                   y                        INPUT               
SQBO           12             SQBO                     ----                     module                   y                        SQBO                
ip1            12             ID                       ----                     input_plist              y                        ID                  
----           -1             ----                     ----                     module                   n                        input_plist         
COLON          12             COLON                    ----                     input_plist              y                        COLON               
INTEGER        12             INTEGER                  ----                     type                     y                        INTEGER             
----           -1             ----                     ----                     dataType                 n                        type                
----           -1             ----                     ----                     input_plist              n                        dataType            
COMMA          12             COMMA                    ----                     input_plistNew           y                        COMMA               
----           -1             ----                     ----                     input_plist              n                        input_plistNew      
ip2            12             ID                       ----                     input_plistNew           y                        ID                  
